📡百视有线,#genre#
百视TV1,https://bp-caster.bestv.com.cn/943/3/video.m3u8
百视TV2,https://bp-caster.bestv.com.cn/926/3/video.m3u8
百视TV3,https://bp-caster.bestv.com.cn/945/3/video.m3u8
百视TV4,https://bp-caster.bestv.com.cn/900/3/video.m3u8
百视TV5,https://bp-caster.bestv.com.cn/956/3/video.m3u8
百视TV6,https://bp-caster.bestv.com.cn/947/3/video.m3u8
百视TV7,https://bp-caster.bestv.com.cn/941/3/video.m3u8
百视TV8,https://bp-caster.bestv.com.cn/953/3/video.m3u8
百视TV9,https://bp-caster.bestv.com.cn/939/3/video.m3u8
百视TV10,https://bp-caster.bestv.com.cn/938/3/video.m3u8
百视TV11,https://bp-caster.bestv.com.cn/937/3/video.m3u8
百视TV12,https://bp-caster.bestv.com.cn/954/3/video.m3u8
百视TV14,https://bp-caster.bestv.com.cn/934/3/video.m3u8
百视独播1,https://bp-caster.bestv.com.cn/946/3/video.m3u8
百视独播2,https://bp-caster.bestv.com.cn/955/3/video.m3u8
百视独播3,https://bp-caster.bestv.com.cn/940/3/video.m3u8
百视独播4,https://bp-caster.bestv.com.cn/944/3/video.m3u8
百视自制,https://bp-caster.bestv.com.cn/723/3/video.m3u8
独家直播,https://bp-caster.bestv.com.cn/936/3/video.m3u8

📡央视频道,#genre#
CCTV1,http://39.134.66.66/PLTV/88888888/224/3221225816/index.m3u8
CCTV1,http://39.134.66.66/PLTV/88888888/224/3221225706/index.m3u8
CCTV2,http://39.134.66.66/PLTV/88888888/224/3221225599/index.m3u8
CCTV3,http://39.134.66.66/PLTV/88888888/224/3221225799/index.m3u8
CCTV4,http://39.134.66.66/PLTV/88888888/224/3221225797/index.m3u8
CCTV5,http://39.134.66.66/PLTV/88888888/224/3221225818/index.m3u8
CCTV5+,http://39.134.66.66/PLTV/88888888/224/3221225507/index.m3u8
CCTV6,http://39.134.66.66/PLTV/88888888/224/3221225814/index.m3u8
CCTV7,http://39.134.66.66/PLTV/88888888/224/3221225671/index.m3u8
CCTV8,http://39.134.66.66/PLTV/88888888/224/3221225795/index.m3u8
CCTV9,http://39.134.66.66/PLTV/88888888/224/3221225676/index.m3u8
CCTV10,http://39.134.66.66/PLTV/88888888/224/3221225677/index.m3u8
CCTV11,http://39.134.66.66/PLTV/88888888/224/3221225517/index.m3u8
CCTV12,http://39.134.66.66/PLTV/88888888/224/3221225669/index.m3u8
CCTV13,http://39.134.66.66/PLTV/88888888/224/3221225812/index.m3u8
CCTV14,http://39.134.66.66/PLTV/88888888/224/3221225674/index.m3u8
CCTV15,http://39.134.66.66/PLTV/88888888/224/3221225513/index.m3u8
CCTV17,http://39.134.66.66/PLTV/88888888/224/3221225708/index.m3u8

CCTV1,http://tvphp1.rbq.plus/migu.php?id=cctv1
CCTV2,http://tvphp1.rbq.plus/migu.php?id=cctv2
CCTV3,http://tvphp1.rbq.plus/migu.php?id=cctv3
CCTV4,http://tvphp1.rbq.plus/migu.php?id=cctv4
CCTV5,http://tvphp1.rbq.plus/migu.php?id=cctv5
CCTV6,http://tvphp1.rbq.plus/migu.php?id=cctv6
CCTV7,http://tvphp1.rbq.plus/migu.php?id=cctv7
CCTV8,http://tvphp1.rbq.plus/migu.php?id=cctv8
CCTV9,http://tvphp1.rbq.plus/migu.php?id=cctv9
CCTV10,http://tvphp1.rbq.plus/migu.php?id=cctv10
CCTV11,http://tvphp1.rbq.plus/migu.php?id=cctv11
CCTV12,http://tvphp1.rbq.plus/migu.php?id=cctv12
CCTV13,http://tvphp1.rbq.plus/migu.php?id=cctv13
CCTV14,http://tvphp1.rbq.plus/migu.php?id=cctv14
CCTV15,http://tvphp1.rbq.plus/migu.php?id=cctv15
CCTV17,http://tvphp1.rbq.plus/migu.php?id=cctv17
CCTV5+,http://tvphp1.rbq.plus/migu.php?id=cctv5p

CCTV1,https://node1.olelive.com:6443/live/CCTV1HD/hls.m3u8
CCTV1,http://106.115.26.37:9999/tsfile/live/1000_1.m3u8?key=txiptv&playlive=1&down=1
CCTV1,http://101.33.17.11/liveplay-kk.rtxapp.com/live/program/live/cctv1hd8m/8000000/mnf.m3u8
CCTV1,http://111.225.93.57:8800/hls/1/index.m3u8

CCTV2,http://106.115.26.37:9999/tsfile/live/1001_1.m3u8?key=txiptv&playlive=1&down=1
CCTV2,http://101.33.17.11/liveplay-kk.rtxapp.com/live/program/live/cctv2hd8m/8000000/mnf.m3u8
CCTV2,http://111.225.93.57:8800/hls/2/index.m3u8

CCTV3,https://node1.olelive.com:6443/live/CCTV3HD/hls.m3u8
CCTV3,http://111.225.93.57:8800/hls/3/index.m3u8
CCTV3,http://[2409:8087:1a01:df::4077]/PLTV/88888888/224/3221225799/index.m3u8
CCTV3,http://www.namewee.xyz/gudou.php?id=364&id=1603
CCTV3,http://111.20.40.172/PLTV/88888893/224/3221226397/index.m3u8
CCTV3,http://106.115.26.37:9999/tsfile/live/1002_1.m3u8?key=txiptv&playlive=1&down=1
CCTV3,http://101.33.17.11/liveplay-kk.rtxapp.com/live/program/live/cctv3hd8m/8000000/mnf.m3u8

CCTV4,http://106.115.26.37:9999/tsfile/live/1003_1.m3u8?key=txiptv&playlive=1&down=1
